,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Amazonas,2917750,2885887,2599069,1825852,2061243,2232922,1601233,1953418,1974469,3326548,3236894,4304224,2681150
Áncash,794731907,770582075,1015864461,1019235894,749213535,435360900,397827033,751041852,1516907100,1324085218,917457219,1458628215,2867175283
Apurímac,7456590,10352474,16258266,23194329,12924176,13018984,109047660,312104839,274425950,221816389,246358985,386756862,576431799
Arequipa,412482427,743425104,834558660,495471647,467436733,454322309,400517822,528761131,854067770,1013576656,734950453,1445243452,1484067645
Ayacucho,56291528,93335996,103933365,35571157,23225281,31373749,40274236,39968798,64370433,46063532,79687757,110601144,163920769
Cajamarca,578828906,618864291,655256211,708936867,441320742,355599994,321759486,269996594,191139830,188972756,265367666,361189735,357433052
Callao,22442,5143,8691,17994,17684,48703,34813,24903,31659,46213,66382,59628,180561
Cusco,130630810,219739294,396420697,68682450,151535309,242054874,174578418,220914574,379771106,367587261,342168099,473361819,702694394
Huancavelica,22869909,37913553,33372077,24907917,18663348,19461155,15535440,15606993,18142249,17882421,18132667,17790373,23417066
Huánuco,4586447,8485730,7778782,5030771,4692949,6366468,5488103,11085198,23250480,15321950,8987516,7019351,7305579
Ica,83859562,235060437,401195538,230490250,288498986,145871991,73890300,121791880,185810305,134487082,233010924,527276428,1278588186
Junín,104704002,136496761,129925949,93695808,46068861,66685002,61201557,102974707,186080638,143594662,63413081,97964502,362279492
La Libertad,475092520,533515485,607324122,601975758,409617993,345812320,310784828,317884780,313537972,275743222,242994447,289663342,375917465
Lambayeque,1663173,2417239,2208583,1739908,2163057,2888668,3061430,2926338,2482484,2314067,2725410,5064354,5045465
Lima,117783127,186330859,199901479,145750026,92828518,132495077,87574187,131076040,161675322,152517933,114427494,174176373,228342125
Loreto,114580,488981,589888,414057,495198,498348,108744,138608,51699,796533,269872,310226,114665
Madre de Dios,1986445,2207436,3050291,5120162,4676927,5706551,7269178,6547623,6231787,6008574,7885246,7656702,9042636
Moquegua,345257085,500118581,421321618,362196812,304080079,288063749,225975081,129337255,217000985,257204750,239710847,415038634,768753851
Pasco,206278603,261270046,227450185,128872727,86256792,93981025,43417090,80488024,110874676,102631817,58488126,61078441,125294853
Piura,5306423,5455625,6632228,12665687,12077430,9053064,40340867,13906225,9600748,9563646,16213960,16260856,39356926
Puno,260812911,397361015,377115470,275624663,238857466,177598249,122602656,136745051,134136299,102598720,137976386,140006693,428679659
San Martín,1383843,1561706,2013544,1576368,3222096,2141934,2601224,2446170,2282377,2806786,2568173,3031739,3417194
Tacna,278801912,459989094,386564324,304535228,280007416,259202815,214971439,134614611,222014305,292529098,428007837,627430154,1136818199
Tumbes,19464,19456,43553,55096,60064,57492,70308,130994,70696,85879,127894,162967,183110
Ucayali,46905,35251,74049,37295,42033,42340,21522,11715,4562,98515,152382,437429,351667
